	Date	Name	Text	Compound	Positive	Negative	Neutral	Tweets Ago
183	Mon Jun 11 00:24:31 +0000 2018	@CBS	Tina Fey has a boat?? #MeanGirls #TonyAwards https://t.co/phYxmHMd3d	0.0	0.0	1.0	0.0	184
182	Mon Jun 11 00:27:00 +0000 2018	@CBS	Laurie Metcalf wins Best Featured Actress in a Play! #TonyAwards @threetallwomen https://t.co/y4teyJaRPs	0.8908	0.57	0.43	0.0	183
181	Mon Jun 11 00:27:42 +0000 2018	@CBS	RT @marialena_rago: I like this opener for @MyFairLadyBway #TonyAwards	0.3612	0.263	0.737	0.0	182
180	Mon Jun 11 00:31:28 +0000 2018	@CBS	If you haven't started singing, you will be the rest of the night. #TonyAwards #MyFairLady https://t.co/jbGXwnru8N	0.0	0.0	1.0	0.0	181
179	Mon Jun 11 00:34:45 +0000 2018	@CBS	Keep your acceptance speeches short or else the #TonyAwards will get the angels involved. #AngelsInAmerica 👼 https://t.co/oznhezRzDc	0.4588	0.167	0.833	0.0	180
178	Mon Jun 11 00:35:41 +0000 2018	@CBS	"RT @CBSThisMorning: ""We know there are a lot of you out there who have photos of yourself in school plays or community theater."" Post your…"	0.25	0.08	0.92	0.0	179
177	Mon Jun 11 00:44:36 +0000 2018	@CBS	Can the 73rd annual #TonyAwards just be three-hours of @TitussBurgess? https://t.co/3rCZwwTUtv	0.0	0.0	1.0	0.0	178
176	Mon Jun 11 00:45:14 +0000 2018	@CBS	A big congratulations to @springsteen for his Special Tony award! ✨ #TonyAwards https://t.co/i16u8uv9aT	0.8858	0.565	0.435	0.0	177
175	Mon Jun 11 00:50:18 +0000 2018	@CBS	✨ @LindsayMendez wins Best Featured Actress in a Musical! #TonyAwards @carouselbway https://t.co/MtgFowscN5	0.8478	0.506	0.494	0.0	176
174	Mon Jun 11 00:51:11 +0000 2018	@CBS	Who lives in a pineapple and just performed at The Tonys? 🍍🎶 The cast of SpongeBob SquarePants: The Musical!… https://t.co/mvFxdh9UJi	0.0	0.0	1.0	0.0	175
173	Mon Jun 11 00:52:34 +0000 2018	@CBS	RT @adub369: This is unbelievable! @SaraBareilles and @joshgroban #TonyAwards	0.2714	0.207	0.793	0.0	174
